id,query,vertical,ldap
644,how has the population of san diego changed over the past decade?,Demographics,Carolyn Au
645,which countries has had the largest increase in gdp over the past decade?,Economy,Carolyn Au
646,how has child poverty changed over the past decade in india?,Economy,Carolyn Au
647,help me understand the graduation rates among hispanic students in baltimore.,Demographics,Carolyn Au
648,can you generate a table of statistics about education in california?,Education,Carolyn Au
649,how has life expectancy in myanmar changed?,Health,Carolyn Au
650,can you show me the trend in life expectancy in myanmar?,Health,Carolyn Au
651,has life expectancy in myanmar increased or decreased over the past decade?,Health,Carolyn Au
652,Which states in the US have had increased fire incidents in the past year?,Environment,Ajai Tirumali
653,Did extreme weather events increase in Europe last year?,Environment,Ajai Tirumali
654,How much did agriculture production grow in the last decade across countries?,Agriculture,Ajai Tirumali
655,Which countries have been able to switch from fossil fuels to renewables?,Energy,Ajai Tirumali
656,Compare wheat production to predicted temperature increase across states in the US.,Agriculture,Ajai Tirumali
657,Compare doctrates by gender across states in the US.,Education,Ajai Tirumali
658,What are the safest cities in the US?,Crime,Ajai Tirumali
659,Show me the rate of increase in obesity among children in southern US states.,Health,Ajai Tirumali
660,Show me a comparisson of the rate of obesity increase in southern vs northern states among children.,Health,Ajai Tirumali
661,Which countries in Africa have done the best to reduce maternal mortality rates?,Health,Ajai Tirumali
662,Which countries are increasing in population the fastest?,Demographics,Ajai Tirumali
663,What are the biggest agricultural exports to the US coming out of South America?,Agriculture,Ajai Tirumali
664,What are the biggest agricultural imports coming into African nations?,Agriculture,Ajai Tirumali
665,What percentage of African land is arable?,Agriculture,Ajai Tirumali
666,What is the highest growing agricultural import into the US and show me a graph of different countries that we import it from over the last decade?,Agriculture,Ajai Tirumali
667,Which countries are seeing increase in poverty due to health expenses?,Demographics,Ajai Tirumali
670,Which African countries have been most successful in lowering infant mortality rates?,Health,Hareesh MS
671,Which countries have the highest solar energy production capacity in the world?,Energy,Hareesh MS
672,Which Indian state has been most successful in restoring forests?,Environment,Hareesh MS
673,Which countries are experiencing a growing trend of drought conditions?,Environment,Hareesh MS
674,List the top crude oil importing countries.,Economy,Hareesh MS
675,Show me the US cities with the shortest commute time to work.,Demographics,Hareesh MS
676,What is the employment rate among women in India?,Demographics,Hareesh MS
677,Which states in the US have seen the greatest reduction in hate crime incidents?,Crime,Hareesh MS
678,What's the rate of people with diabetes in the United States?,Health,Julia Wu
679,Which countries in Africa generate the most electricity?,Energy,Julia Wu
680,Compare the average household income between San Francisco and Oakland CA.,Economy,Julia Wu
681,How much of America's population is rural?,Demographics,Julia Wu
682,Which countries have low obesity rates?,Health,Julia Wu
683,Which countries emit the most CO2 per capita?,Environment,Julia Wu
684,How much of Canada is covered in forest?,Environment,Julia Wu
685,How much soybean is grown in the USA annually?,Agriculture,Julia Wu
686,"Compare the fertility rate between Japan, Korea, and China.",Demographics,Julia Wu
687,What are the average commute times and public transportation usage rates in major cities across Europe?,Environment,Dan Noble
688,How does the Alzheimer's rate in the United States compare to other countries around the world?,Health,Dan Noble
689,Show me a breakdown of the most common industries and occupations by % in East Africa.,Economy,Dan Noble
690,What percentage of adults in Berlin have a bachelor's degree or higher?,Education,Dan Noble
691,What is the current GDP and unemployment rate in Texas?,Economy,Dan Noble
692,"What are the leading causes of death in Hanoi, Vietnam?",Health,Dan Noble
693,"What is the current life expectancy in Nigeria, and how has it changed over the past 20 years?",Health,Dan Noble
694,What are the current rates of internet penetration and digital literacy in the Middle East?,Energy,Dan Noble
695,How do the literacy rates in Southeast Asia compare to those in South Asia?,Education,Dan Noble
696,What are the unemployment rates in Spain for different age groups?,Education,Dan Noble
697,Got any stats on how solar energy has changed overall energy use in Australia?,Energy,Dan Noble
698,What is the share of hydroelectric power in British Columbia's total energy consumption?,Energy,Dan Noble
699,"What are the energy consumption rates per capita in Saudi Arabia, and how do they compare to other Gulf Cooperation Council countries?",Energy,Dan Noble
700,"What is the average residential energy consumption in New York City, and how has it changed over the past decade?",Energy,Dan Noble
701,How's the rice farming biz in Thailand changed over the last 20 years?,Agriculture,Dan Noble
702,What are the global trends in the use of genetically modified crops in agriculture?,Agriculture,Dan Noble
703,Show me how access to early childhood education varies across all the states in USA?,Education,Jennifer Chen
704,How much do countries around the world spend on education?,Education,Julia Wu
705,How much of the world has health coverage?,Health,Julia Wu
706,How did the wage of various industry change  in USA. What should I do given this change? Give me numbers when needed.,Economy,Jennifer Chen
707,What percentage of the population is born outside of the country in USA?,Demographics,Carolyn Au
708,what are trends of agricultural production in louisiana?,Agriculture,Carolyn Au
709,How is the access to primary school education in USA?,education,jennifer Chen
710,Which US counties have the lowest level of carbon emissions per capita?,Environment,Julia Wu
711,Give me some quantitative analysis about how income correlates with education level in USA.,economy/education,jennifer chen
712,Which county in the US is likely to run out of water first?,Environment,Julia Wu
713,What types of crime are the most common in USA?,crime,jennifer chen
714,How much of each country's government spending is on defense/military?,Economy,Julia Wu
715,What is the share of hydroelectric power in California's total energy consumption?,Energy,Julia Wu
716,How does the health of the people in USA compare to Japan?,Health,
717,How has agriculture in california affected climate change?,Environment,
718,why is the living cost so high in california compared to texas?,Economy,
719,How does the richest 5 counties in Florida compare to the poorest 5 counties in California?,Economy,
720,How have education levels changed across the US?,Demographics,
721,Tell me about how East Asian countries are doing on quality of life metrics.,Health,
722,"Find another city in New Jersey that most closely resembles Newark for three different categories: racial composition, income levels, education levels.",Demographics,
723,Tell me about the economy in Nigeria.,Economy,
724,Which states in the US are nice to live in?,Demographics,
725,What is it like to be female in Egypt compared with South Africa?,Demographics,
726,What is the most common crop produced in every state in the US? ,Agriculture,
727,Which are the crops that are most at risk from temperature increase? which states produce those crops in a large enough quantity that it should be of concern for them? How much is at risk economically?,Agriculture,
728,"From a data perspective, tell me something interesting about Mountain View, CA.",,
729,"In the last five years, what indicator has changed the most in India?",,
730,Which countries have made the most dramatic decreases in HIV infection rates?,Health,
731,"In Mexican states with the greatest disparity in male and female food insecurity, do you see a greater rate of domestic abuse?",,
732,"For counties in the US with the highest area used for farming, can you separate them by the ones most effected by temperature differences in the future and least effected by them and see if the ones most effected by them have more or less food insecurity?",Environment,
733,How do OECD countries and Asian countries compare in their spending on education?,Education,
734,Compare and contrast the demographic makeup of Sunnyvale and Bakersfield.,Demographics,
735,Compare and contrast the current economic state of California counties.,Economy,
736,"For the top 10 counties that have the higest rate of diabetes in the US, how is their demographics different than the averages in the country? What about their economics?",Health,
